id,category,source,target,name,kind,fiat_value,truth_score
mor_495ec0e207,𝓣 Truth,industrialcompany_a47144cce2,country_515c19532d,F(purchase/construction),purchase,10353.866057648616,27.028442368209188
mor_391fa1ccc6,𝓣 Truth,cyberdefensecompact_08a70b1e54,country_6263a1fe41,F(defense-support),defense,0.0,15.446698537395692
mor_cf40d93eb9,𝓣 Truth,strategiccompany_6d22701402,mediacompany_7eef8ee6fc,F(purchase/space),purchase,3920.9928542210346,29.903812746312877
mor_8603caaa9b,𝓣 Truth,strategiccompany_6e611815a5,platformcompany_8cfcacd280,F(purchase/defense),purchase,27150.528897651675,33.46102206336223
mor_38de89d5a8,𝓣 Truth,platformcompany_8cfcacd280,strategiccompany_6e611815a5,F(purchase/health),purchase,65072.68010863475,34.50339685083938
mor_f961ae0a3c,𝓣 Truth,industrialcompany_dace4c1a97,researchcompany_48fb06cd6b,F(purchase/construction),purchase,2725.3171936505078,26.12590893101632
mor_1cdc985802,𝓣 Truth,mediacompany_57abd645a1,civiliancompany_8cdd2f3ec7,F(purchase/culture),purchase,80052.31292737063,24.307172879165144
mor_19d09ef1e4,𝓣 Truth,civiliancompany_bd4c5d21f6,industrialcompany_0fbee3d505,F(purchase/housing),purchase,11733.961530613295,26.68834100056018
mor_d27d3729a0,𝓣 Truth,mediacompany_ab3a187961,mediacompany_8cbe79e001,F(purchase/food),purchase,37565.89199264865,30.670861933562815
mor_7411d5ec12,𝓣 Truth,strategiccompany_c9334d528e,industrialcompany_97a11ef795,F(purchase/space),purchase,5228.6343879103115,28.029954343871985
mor_94bf51bd2a,𝓣 Truth,industrialcompany_0fa3daf942,industrialcompany_7cfbe6b7e8,F(purchase/software),purchase,9505.863528779133,32.327068422505334
mor_d6a422e658,𝓣 Truth,mutualdefensepact_2e0282d4d1,country_e2867ab19f,F(defense-support),defense,0.0,15.429361438428844
mor_de0562ae45,𝓣 Truth,researchcompany_f4de8c9e09,industrialcompany_7cfbe6b7e8,F(purchase/education),purchase,38459.037623304976,34.50387750361224
mor_9887938db2,𝓣 Truth,strategiccompany_19901bf173,household_21bfe42a85,F(purchase/space),purchase,12892.594311462954,31.905899799281695
mor_a4cde5b92b,𝓣 Truth,industrialcompany_97a11ef795,industrialcompany_956f5c8acc,F(purchase/housing),purchase,15685.35233871535,29.11457488770081
mor_f596a30eda,𝓣 Truth,mediacompany_5ef862a9f2,strategiccompany_53bfa25ba4,F(purchase/culture),purchase,39944.97504713455,21.294528580035834
mor_4a77abefad,𝓣 Truth,researchcompany_82dc0f9edf,civiliancompany_1e50c0b917,F(purchase/biotech),purchase,32227.98121208242,33.46623888283589
mor_d2b2494e96,𝓣 Truth,cyberdefensecompact_08a70b1e54,country_ad40e6eea8,F(defense-support),defense,0.0,17.809664040599888
mor_101244cf01,𝓣 Truth,researchcompany_48fb06cd6b,industrialcompany_7cfbe6b7e8,F(purchase/biotech),purchase,6914.113784794478,27.89588997031357
mor_61b42f335a,𝓣 Truth,platformcompany_77affdcf0d,strategiccompany_19901bf173,F(purchase/insurance),purchase,11506.8242111816,26.118750424118154
mor_1bba027a8d,𝓣 Truth,researchcompany_82dc0f9edf,country_ad40e6eea8,F(purchase/biotech),purchase,54380.779682298664,36.680310703556174
mor_5d2c2cc392,𝓣 Truth,industrialcompany_956f5c8acc,country_ad40e6eea8,F(purchase/logistics),purchase,61375.48827266898,27.093404800821787
mor_085cffbef8,𝓣 Truth,industrialcompany_f013da2dd3,industrialcompany_0fbee3d505,F(purchase/insurance),purchase,79048.62817404985,31.84275980961616
mor_51e64c461d,𝓣 Truth,strategiccompany_c9334d528e,industrialcompany_45e433d2eb,F(purchase/space),purchase,34666.88414284928,38.11942061951558
mor_abf80a8c69,𝓣 Truth,industrialcompany_d32cb19e45,platformcompany_77affdcf0d,F(purchase/finance),purchase,20136.095402926396,25.275110873026374
mor_3971451d17,𝓣 Truth,mediacompany_f8e14ee9a7,strategiccompany_2301e228a4,F(purchase/tourism),purchase,45830.9880347605,21.81782190873967
mor_0bf0b60829,𝓣 Truth,industrialcompany_eefa11d327,strategiccompany_c9334d528e,F(purchase/energy),purchase,21270.067834192185,36.95079112204415
mor_9e5098d1c3,𝓣 Truth,mediacompany_cd4596d788,strategiccompany_7e99b98e05,F(purchase/health),purchase,10532.137108351293,32.13476209190926
mor_b3a7f492ab,𝓣 Truth,strategiccompany_6e611815a5,strategiccompany_c9334d528e,F(purchase/defense),purchase,8589.413853227836,35.068397625470475
mor_9b86dcd5f5,𝓣 Truth,mediacompany_7eef8ee6fc,mediacompany_2cb705f3f4,F(purchase/media),purchase,15052.254541233942,20.78812970608463
